timestamp,country,operating_system,Facebook Messenger,iMessage,WhatsApp,Telegram,Slack,Skype,Snapchat,QQ Mobile,Line,WeChat,Viber,GroupMe,SMS,IRC,Google Talk
2016/08/30 10:04:52 PM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it,I have it but rarely use it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I have it but rarely use it,I have it but rarely use it
2016/08/31 12:00:23 AM AST,United States,Android,I use it at least once a week,I don't have it,I have it but rarely use it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it
2016/08/31 8:38:02 AM AST,United States,Android,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I have it but rarely use it
2016/08/31 9:05:57 AM AST,United States,Android,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I don't have it,I don't have it
2016/08/31 10:08:59 AM AST,United States,iOS,I have it but rarely use it,I use it at least once a week,I have it but rarely use it,I don't have it,I use it at least once a week,I don't have it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I have it but rarely use it
2016/08/31 10:50:23 AM AST,United States,iOS,I use it at least once a week,I have it but rarely use it,I don't have it,I don't have it,I have it but rarely use it,I have it but rarely use it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I don't have it,I don't have it
2016/08/31 11:04:14 AM AST,United States,Android,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I use it at least once a week,I don't have it,I don't have it
2016/08/31 12:23:11 PM AST,United States,Android,I use it at least once a week,I don't have it,I use it at least once a week,I don't have it,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I don't have it,I don't have it,I use it at least once a week,I use it at least once a week,I use it at least once a week
2016/08/31 1:32:18 PM AST,United States,Android,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I use it at least once a week,I don't have it,I use it at least once a week
2016/08/31 2:38:02 PM AST,United States,iOS,I use it at least once a week,I use it at least once a week,I don't have it,I don't have it,I don't have it,I don't have it,I have it but rarely use it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it,I don't have it
